review_case_id,example_id,method,suggested_category,configuration_id
FR-63A0A275,MRO/2009/page_139.pdf-2,direct_proof_lock,over_refusal_or_selection_uncertainty,4c6099853873
FR-4F4D7003,MRO/2004/page_36.pdf-2,direct_proof_lock,ranking_or_selection_error,4c6099853873
FR-CE40073E,BDX/2018/page_82.pdf-3,posthoc_verifier,retrieval_or_candidate_recall_failure,4c6099853873
FR-DB83480A,ETR/2017/page_114.pdf-2,fragment_token_lock_ablation,invalid_or_fragmentary_response,4c6099853873
FR-14C86C3A,AMT/2012/page_125.pdf-2,posthoc_verifier,candidate_recall_failure,4c6099853873
FR-89AD7D3D,ABMD/2004/page_26.pdf-1,fragment_token_lock_ablation,candidate_recall_failure,4c6099853873
FR-9A801D83,CDNS/2012/page_30.pdf-2,fragment_token_lock_ablation,ranking_or_selection_error,4c6099853873
FR-40502ABC,MAS/2018/page_60.pdf-1,direct_proof_lock,candidate_recall_failure,4c6099853873
FR-87371F04,ETR/2002/page_86.pdf-2,soft_prefix_bias_3,retrieval_or_candidate_recall_failure,4c6099853873
FR-90C1A7EA,STT/2009/page_73.pdf-2,soft_prefix_bias_5,over_refusal_or_selection_uncertainty,4c6099853873
FR-84BBC11B,MRO/2009/page_56.pdf-2,provenance_prompt,invalid_or_fragmentary_response,4c6099853873
FR-1DC8A08C,LMT/2013/page_74.pdf-4,soft_prefix_bias_3,invalid_or_fragmentary_response,4c6099853873
FR-F8A52CD8,IPG/2008/page_21.pdf-3,soft_prefix_bias_10,retrieval_or_candidate_recall_failure,4c6099853873
FR-199565CD,IP/2006/page_32.pdf-4,candidate_menu_prompt,retrieval_or_candidate_recall_failure,4c6099853873
FR-72FAFAAE,ETR/2002/page_86.pdf-2,provenance_prompt,retrieval_or_candidate_recall_failure,4c6099853873
FR-549C16F0,AMT/2005/page_105.pdf-2,posthoc_verifier,over_refusal_or_selection_uncertainty,4c6099853873
FR-A7FE9580,ABMD/2006/page_75.pdf-4,soft_prefix_bias_10,candidate_recall_failure,4c6099853873
FR-AE3A6061,MRO/2006/page_33.pdf-1,provenance_prompt,candidate_recall_failure,4c6099853873
FR-23BF5345,AAP/2011/page_28.pdf-1,selector_guided_proof_lock,candidate_recall_failure,4c6099853873
FR-C215C0B2,ETR/2011/page_324.pdf-2,soft_prefix_bias_3,retrieval_or_candidate_recall_failure,4c6099853873
FR-F3E59DE8,GS/2016/page_77.pdf-1,candidate_menu_prompt,constraint_escape_or_unsupported_answer,4c6099853873
FR-94AF0E3B,ETR/2011/page_376.pdf-1,provenance_prompt,invalid_or_fragmentary_response,4c6099853873
FR-A694D98B,PNC/2013/page_62.pdf-2,candidate_menu_prompt,ranking_or_selection_error,4c6099853873
FR-92580EB9,VRTX/2003/page_71.pdf-1,selector_guided_proof_lock,ranking_or_selection_error,4c6099853873
FR-0163CEA1,GS/2012/page_165.pdf-1,soft_prefix_bias_10,ranking_or_selection_error,4c6099853873
FR-EC1C110C,FBHS/2017/page_23.pdf-2,risk_controlled_proof_lock,over_refusal_or_selection_uncertainty,4c6099853873
FR-A1A2E76B,GS/2016/page_77.pdf-1,direct_proof_lock,ranking_or_selection_error,4c6099853873
FR-D0DCA7CB,IP/2006/page_32.pdf-2,risk_controlled_proof_lock,ranking_or_selection_error,4c6099853873
FR-76A5794E,NKE/2016/page_37.pdf-1,risk_controlled_proof_lock,candidate_recall_failure,4c6099853873
FR-31911704,HOLX/2008/page_142.pdf-1,candidate_menu_prompt,invalid_or_fragmentary_response,4c6099853873
FR-F2248F9D,SYY/2019/page_9.pdf-1,candidate_menu_prompt,over_refusal_or_selection_uncertainty,4c6099853873
FR-D1038042,SPGI/2015/page_57.pdf-1,soft_prefix_bias_1,over_refusal_or_selection_uncertainty,4c6099853873
FR-24F08C84,JPM/2007/page_33.pdf-2,soft_prefix_bias_1,invalid_or_fragmentary_response,4c6099853873
FR-2B407AE1,ADI/2011/page_81.pdf-2,soft_prefix_bias_1,invalid_or_fragmentary_response,4c6099853873
FR-C1695400,UNP/2015/page_24.pdf-1,fragment_token_lock_ablation,over_refusal_or_selection_uncertainty,4c6099853873
FR-6EE66446,PKG/2009/page_65.pdf-2,posthoc_verifier,retrieval_or_candidate_recall_failure,4c6099853873
FR-0823F165,IPG/2015/page_37.pdf-1,fragment_token_lock_ablation,constraint_escape_or_unsupported_answer,4c6099853873
FR-FFADA874,ETR/2013/page_118.pdf-2,soft_prefix_bias_10,candidate_recall_failure,4c6099853873
FR-B852D050,MRO/2015/page_18.pdf-2,direct_proof_lock,retrieval_or_candidate_recall_failure,4c6099853873
FR-5D55FDEA,INTC/2013/page_29.pdf-3,candidate_menu_prompt,ranking_or_selection_error,4c6099853873
FR-D0A71D84,ETR/2002/page_86.pdf-2,derivation_proof_lock,retrieval_or_candidate_recall_failure,4c6099853873
FR-F206EAC8,AES/2001/page_44.pdf-2,direct_proof_lock,candidate_recall_failure,4c6099853873
FR-01C484D8,APD/2013/page_32.pdf-1,baseline,ranking_or_selection_error,4c6099853873
FR-FE00701F,SWKS/2006/page_81.pdf-1,direct_proof_lock,retrieval_or_candidate_recall_failure,4c6099853873
FR-16DAAE46,JPM/2007/page_157.pdf-1,selector_guided_proof_lock,candidate_recall_failure,4c6099853873
FR-6EA47C85,DVN/2014/page_85.pdf-1,risk_controlled_proof_lock,ranking_or_selection_error,4c6099853873
FR-44D641E4,LMT/2013/page_74.pdf-1,candidate_menu_prompt,invalid_or_fragmentary_response,4c6099853873
FR-DF2CC2DB,PNC/2009/page_41.pdf-3,soft_prefix_bias_5,over_refusal_or_selection_uncertainty,4c6099853873
FR-D8CEA154,ETR/2008/page_377.pdf-3,soft_prefix_bias_1,ranking_or_selection_error,4c6099853873
FR-336023C4,PNC/2009/page_41.pdf-2,selector_guided_proof_lock,candidate_recall_failure,4c6099853873
FR-C1C1A940,ETR/2011/page_341.pdf-3,soft_prefix_bias_3,over_refusal_or_selection_uncertainty,4c6099853873
FR-80897DA1,ETR/2002/page_86.pdf-2,soft_prefix_bias_10,retrieval_or_candidate_recall_failure,4c6099853873
FR-23FE228A,MRO/2017/page_111.pdf-4,candidate_menu_prompt,retrieval_or_candidate_recall_failure,4c6099853873
FR-88F33578,ADBE/2018/page_86.pdf-4,soft_prefix_bias_10,candidate_recall_failure,4c6099853873
FR-4119AAD0,BLK/2013/page_124.pdf-2,candidate_menu_prompt,candidate_recall_failure,4c6099853873
FR-BB0CCAAC,LMT/2015/page_99.pdf-3,soft_prefix_bias_5,ranking_or_selection_error,4c6099853873
FR-0A57EE11,APTV/2014/page_49.pdf-2,derivation_proof_lock,ranking_or_selection_error,4c6099853873
FR-60A9975E,HOLX/2012/page_113.pdf-1,soft_prefix_bias_10,ranking_or_selection_error,4c6099853873
FR-6522165C,CME/2012/page_70.pdf-1,soft_prefix_bias_10,candidate_recall_failure,4c6099853873
FR-6202820C,JPM/2014/page_65.pdf-3,soft_prefix_bias_1,constraint_escape_or_unsupported_answer,4c6099853873
FR-77FF75F8,ANSS/2013/page_55.pdf-3,soft_prefix_bias_5,constraint_escape_or_unsupported_answer,4c6099853873
FR-485F4748,ETR/2011/page_341.pdf-3,soft_prefix_bias_10,over_refusal_or_selection_uncertainty,4c6099853873
FR-A284AEE0,MAS/2018/page_35.pdf-3,direct_proof_lock,retrieval_or_candidate_recall_failure,4c6099853873
FR-D202F59A,HII/2017/page_104.pdf-2,soft_prefix_bias_5,candidate_recall_failure,4c6099853873
FR-C1F67084,IPG/2008/page_62.pdf-4,direct_proof_lock,candidate_recall_failure,4c6099853873
FR-92D300D0,MS/2014/page_267.pdf-1,provenance_prompt,ranking_or_selection_error,4c6099853873
FR-CFE3E460,UNP/2014/page_75.pdf-1,baseline,constraint_escape_or_unsupported_answer,4c6099853873
FR-0A1D9FF6,PNC/2009/page_46.pdf-4,soft_prefix_bias_5,invalid_or_fragmentary_response,4c6099853873
FR-640A8A91,DRE/2002/page_40.pdf-2,soft_prefix_bias_10,ranking_or_selection_error,4c6099853873
FR-5DEB5A13,PM/2014/page_67.pdf-1,candidate_menu_prompt,candidate_recall_failure,4c6099853873
FR-4114375A,GPN/2017/page_77.pdf-1,risk_controlled_proof_lock,retrieval_or_candidate_recall_failure,4c6099853873
FR-F34A84BE,GS/2016/page_77.pdf-1,provenance_prompt,constraint_escape_or_unsupported_answer,4c6099853873
FR-81C8F75C,BDX/2018/page_82.pdf-3,risk_controlled_proof_lock,retrieval_or_candidate_recall_failure,4c6099853873
FR-ACCCE895,BLL/2007/page_35.pdf-2,baseline,constraint_escape_or_unsupported_answer,4c6099853873
FR-404E031B,C/2010/page_223.pdf-3,soft_prefix_bias_3,constraint_escape_or_unsupported_answer,4c6099853873
FR-AB5764F9,CB/2010/page_200.pdf-1,fragment_token_lock_ablation,over_refusal_or_selection_uncertainty,4c6099853873
FR-00158140,PKG/2009/page_65.pdf-4,baseline,invalid_or_fragmentary_response,4c6099853873
FR-F0FB9CA7,CAT/2017/page_85.pdf-3,fragment_token_lock_ablation,retrieval_or_candidate_recall_failure,4c6099853873
FR-9BC0C9EA,JPM/2014/page_65.pdf-1,soft_prefix_bias_10,candidate_recall_failure,4c6099853873
FR-4C1A6113,IP/2007/page_31.pdf-1,soft_prefix_bias_10,ranking_or_selection_error,4c6099853873
FR-65461B2E,PKG/2009/page_65.pdf-1,risk_controlled_proof_lock,ranking_or_selection_error,4c6099853873
FR-2A42689C,HII/2017/page_124.pdf-1,provenance_prompt,invalid_or_fragmentary_response,4c6099853873
FR-AC5E8F2E,DRE/2013/page_39.pdf-1,fragment_token_lock_ablation,over_refusal_or_selection_uncertainty,4c6099853873
FR-E2E00533,MRO/2006/page_33.pdf-1,soft_prefix_bias_1,candidate_recall_failure,4c6099853873
FR-74C0E7D0,PM/2015/page_85.pdf-4,direct_proof_lock,candidate_recall_failure,4c6099853873
FR-01B0CFA1,LMT/2005/page_40.pdf-1,soft_prefix_bias_10,ranking_or_selection_error,4c6099853873
FR-A2350E7B,ETR/2008/page_377.pdf-4,fragment_token_lock_ablation,invalid_or_fragmentary_response,4c6099853873
FR-2A09F8D7,ETR/2011/page_341.pdf-3,soft_prefix_bias_5,over_refusal_or_selection_uncertainty,4c6099853873
FR-BC0474D3,MA/2008/page_126.pdf-1,soft_prefix_bias_10,candidate_recall_failure,4c6099853873
FR-F48B79DF,ZBH/2003/page_40.pdf-1,selector_guided_proof_lock,ranking_or_selection_error,4c6099853873
FR-97315E75,NWS/2016/page_61.pdf-1,direct_proof_lock,candidate_recall_failure,4c6099853873
FR-5CE0EA19,UNP/2011/page_76.pdf-4,selector_guided_proof_lock,ranking_or_selection_error,4c6099853873
FR-53AC51B0,ETR/2002/page_24.pdf-4,soft_prefix_bias_3,candidate_recall_failure,4c6099853873
FR-EA9C07F4,AAP/2011/page_28.pdf-2,soft_prefix_bias_1,ranking_or_selection_error,4c6099853873
